term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",16.463%, 0.838,-0.190,3.455,-5.0519,0.985,0.000,2376,0
GO:0006457,"protein folding",1.396%,-0.040, 1.580,2.386,-2.2512,0.981,0.000,6457,0
GO:0009615,"response to virus",1.771%,-1.251,-5.256,2.489,-9.8219,0.808,0.000,9615,0
GO:0043207,"response to external biotic stimulus",4.859%,null,null,2.926,-6.8242,0.790,0.933,9615,1
GO:0051707,"response to other organism",4.853%,null,null,2.925,-6.8242,0.788,0.815,9615,1
GO:0009617,"response to bacterium",3.156%,null,null,2.739,-4.6894,0.797,0.888,9615,1
GO:0098542,"defense response to other organism",2.874%,null,null,2.698,-4.9365,0.727,0.875,9615,1
GO:0043901,"negative regulation of multi-organism process",0.600%,-0.245, 6.686,2.021,-6.5545,0.766,0.000,43901,0
GO:0048525,"negative regulation of viral process",0.392%,null,null,1.839,-6.4275,0.746,0.905,43901,1
GO:0043903,"regulation of symbiosis, encompassing mutualism through parasitism",1.021%,null,null,2.250,-5.5350,0.755,0.900,43901,1
GO:0043902,"positive regulation of multi-organism process",0.658%,null,null,2.061,-2.0735,0.741,0.860,43901,1
GO:1903900,"regulation of viral life cycle",0.819%,null,null,2.155,-6.5545,0.746,0.852,43901,1
GO:1903901,"negative regulation of viral life cycle",0.375%,null,null,1.820,-6.8242,0.743,0.967,43901,1
GO:0046596,"regulation of viral entry into host cell",0.121%,null,null,1.342,-2.1985,0.781,0.714,43901,1
GO:0045069,"regulation of viral genome replication",0.462%,null,null,1.908,-5.4287,0.757,0.919,43901,1
GO:0045071,"negative regulation of viral genome replication",0.294%,null,null,1.716,-6.5023,0.747,0.881,43901,1
GO:0050792,"regulation of viral process",0.889%,null,null,2.190,-5.6887,0.749,0.952,43901,1
GO:0050896,"response to stimulus",49.302%, 4.422, 0.735,3.932,-2.0070,0.991,0.000,50896,0
GO:0051704,"multi-organism process",9.873%, 3.240,-0.668,3.234,-3.8886,0.984,0.000,51704,0
GO:0071603,"endothelial cell-cell adhesion",0.023%, 4.452,-4.805,0.699,-2.6127,0.947,0.000,71603,0
GO:0042026,"protein refolding",0.144%, 2.417, 0.988,1.415,-2.3649,0.981,0.002,42026,0
GO:0021599,"abducens nerve formation",0.012%,-2.115, 5.726,0.477,-2.1565,0.897,0.006,21599,0
GO:0021598,"abducens nerve morphogenesis",0.012%,null,null,0.477,-2.1565,0.897,1.000,21599,1
GO:0070142,"synaptic vesicle budding",0.023%, 4.649, 2.286,0.699,-2.1183,0.963,0.006,70142,0
GO:0048872,"homeostasis of number of cells",1.339%,-2.129, 3.392,2.367,-2.5118,0.947,0.028,48872,0
GO:0032069,"regulation of nuclease activity",0.156%, 6.099,-1.098,1.447,-4.5302,0.926,0.029,32069,0
GO:0070232,"regulation of T cell apoptotic process",0.196%, 1.644, 3.095,1.544,-2.7077,0.872,0.031,70232,0
GO:2000106,"regulation of leukocyte apoptotic process",0.473%,null,null,1.919,-2.0249,0.868,0.941,70232,1
GO:0070228,"regulation of lymphocyte apoptotic process",0.317%,null,null,1.748,-2.3398,0.869,0.944,70232,1
GO:0070227,"lymphocyte apoptotic process",0.410%,null,null,1.857,-2.1395,0.896,0.870,70232,1
GO:0070231,"T cell apoptotic process",0.289%,null,null,1.708,-2.4181,0.895,0.906,70232,1
GO:0070233,"negative regulation of T cell apoptotic process",0.104%,null,null,1.279,-2.0009,0.855,0.890,70232,1
GO:0006478,"peptidyl-tyrosine sulfation",0.012%, 1.506, 0.827,0.477,-2.1183,0.976,0.038,6478,0
GO:0048519,"negative regulation of biological process",26.855%, 4.214, 3.744,3.668,-2.0277,0.932,0.052,48519,0
GO:0060337,"type I interferon signaling pathway",0.462%,-6.973,-1.483,1.908,-5.8514,0.652,0.076,60337,0
GO:0071357,"cellular response to type I interferon",0.462%,null,null,1.908,-5.8514,0.671,0.986,60337,1
GO:0009607,"response to biotic stimulus",5.107%,-0.891,-0.989,2.947,-6.8242,0.917,0.102,9607,0
GO:1901224,"positive regulation of NIK/NF-kappaB signaling",0.225%,-1.290,-7.988,1.602,-2.4181,0.811,0.126,1901224,0
GO:1901222,"regulation of NIK/NF-kappaB signaling",0.329%,null,null,1.763,-2.1105,0.842,0.830,1901224,1
GO:0009605,"response to external stimulus",12.043%,-0.915,-2.510,3.320,-3.4647,0.909,0.141,9605,0
GO:0001911,"negative regulation of leukocyte mediated cytotoxicity",0.075%,-3.531, 6.990,1.146,-2.4995,0.922,0.156,1911,0
