term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",16.463%, 0.300,-1.200,3.455,-6.1258,0.994,0.000,2376,0
GO:0002443,"leukocyte mediated immunity",4.859%,-8.825, 0.603,2.926,-8.8032,0.674,0.000,2443,0
GO:0002449,"lymphocyte mediated immunity",1.864%,null,null,2.511,-2.9648,0.700,0.773,2443,1
GO:0002446,"neutrophil mediated immunity",2.879%,null,null,2.699,-7.5542,0.685,0.942,2443,1
GO:0002444,"myeloid leukocyte mediated immunity",3.133%,null,null,2.736,-7.6491,0.684,0.768,2443,1
GO:0042119,"neutrophil activation",2.827%,null,null,2.691,-7.5542,0.649,0.968,2443,1
GO:0002366,"leukocyte activation involved in immune response",3.895%,null,null,2.830,-8.7315,0.576,0.794,2443,1
GO:0002697,"regulation of immune effector process",1.922%,null,null,2.524,-4.1768,0.645,0.714,2443,1
GO:0002275,"myeloid cell activation involved in immune response",3.093%,null,null,2.730,-7.6491,0.582,0.927,2443,1
GO:0002263,"cell activation involved in immune response",3.907%,null,null,2.831,-8.7315,0.591,0.795,2443,1
GO:0045055,"regulated exocytosis",4.299%,null,null,2.873,-5.9117,0.860,0.859,2443,1
GO:0002283,"neutrophil activation involved in immune response",2.799%,null,null,2.687,-7.6491,0.586,0.969,2443,1
GO:0043312,"neutrophil degranulation",2.799%,null,null,2.687,-7.6491,0.516,0.914,2443,1
GO:0043299,"leukocyte degranulation",3.064%,null,null,2.726,-7.7321,0.606,0.765,2443,1
GO:0006887,"exocytosis",4.986%, 1.863,-7.215,2.937,-4.9283,0.861,0.000,6887,0
GO:0032940,"secretion by cell",8.125%,null,null,3.149,-6.9682,0.855,0.800,6887,1
GO:0009306,"protein secretion",2.856%,null,null,2.695,-2.1430,0.858,0.704,6887,1
GO:0006954,"inflammatory response",3.785%, 2.089, 4.807,2.818,-7.2620,0.914,0.000,6954,0
GO:0045087,"innate immune response",5.124%,null,null,2.949,-3.3045,0.655,0.706,6954,1
GO:0022610,"biological adhesion",8.540%, 0.394, 0.873,3.171,-2.0579,0.993,0.000,22610,0
GO:0023052,"signaling",36.613%, 0.949, 0.567,3.803,-2.0579,0.995,0.000,23052,0
GO:0050896,"response to stimulus",49.302%, 0.657, 1.742,3.932,-2.3881,0.996,0.000,50896,0
GO:0051704,"multi-organism process",9.873%, 0.616, 1.440,3.234,-3.1525,0.993,0.000,51704,0
GO:2000377,"regulation of reactive oxygen species metabolic process",0.906%, 1.137,-0.115,2.199,-3.1540,0.924,0.003,2000377,0
GO:2000379,"positive regulation of reactive oxygen species metabolic process",0.502%,null,null,1.944,-3.0680,0.889,0.846,2000377,1
GO:0046209,"nitric oxide metabolic process",0.398%,null,null,1.845,-2.3177,0.966,0.827,2000377,1
GO:0007154,"cell communication",36.705%, 0.241,-0.887,3.804,-2.0517,0.992,0.005,7154,0
GO:0070487,"monocyte aggregation",0.029%,-4.349,-1.401,0.778,-3.3531,0.857,0.010,70487,0
GO:0070661,"leukocyte proliferation",1.570%,-1.898, 0.179,2.436,-2.5290,0.953,0.015,70661,0
GO:0001816,"cytokine production",3.745%,-1.207,-5.132,2.813,-4.1768,0.916,0.017,1816,0
GO:2001057,"reactive nitrogen species metabolic process",0.421%, 0.481,-0.113,1.869,-2.3025,0.981,0.030,2001057,0
GO:0090344,"negative regulation of cell aging",0.104%,-3.667, 1.034,1.279,-3.0538,0.840,0.035,90344,0
GO:0090398,"cellular senescence",0.312%,null,null,1.740,-2.3821,0.851,0.872,90344,1
GO:2000772,"regulation of cellular senescence",0.167%,null,null,1.477,-2.6524,0.801,0.929,90344,1
GO:2000773,"negative regulation of cellular senescence",0.069%,null,null,1.114,-3.1831,0.787,0.872,90344,1
GO:0090342,"regulation of cell aging",0.208%,null,null,1.568,-2.5773,0.862,0.799,90344,1
GO:0033559,"unsaturated fatty acid metabolic process",0.710%, 3.533, 0.112,2.093,-2.3025,0.933,0.044,33559,0
GO:0044262,"cellular carbohydrate metabolic process",1.483%, 0.242, 0.850,2.412,-2.6747,0.979,0.047,44262,0
GO:0072593,"reactive oxygen species metabolic process",1.373%,-0.104,-0.387,2.378,-2.6030,0.980,0.050,72593,0
GO:1901135,"carbohydrate derivative metabolic process",7.276%, 0.158, 0.444,3.101,-2.0063,0.981,0.051,1901135,0
GO:0001775,"cell activation",7.900%,-0.037,-0.063,3.137,-10.3599,0.954,0.063,1775,0
GO:0006793,"phosphorus metabolic process",18.702%, 2.783, 0.059,3.511,-2.6883,0.976,0.071,6793,0
GO:0008219,"cell death",11.881%,-0.349,-0.320,3.314,-2.6030,0.952,0.075,8219,0
GO:0042981,"regulation of apoptotic process",8.159%, 0.658, 0.640,3.151,-2.0877,0.904,0.075,42981,0
GO:0043067,"regulation of programmed cell death",8.234%,null,null,3.155,-2.0579,0.904,0.886,42981,1
GO:0012501,"programmed cell death",11.246%,null,null,3.290,-2.2084,0.936,0.846,42981,1
GO:0006915,"apoptotic process",10.537%,null,null,3.262,-2.2172,0.936,0.815,42981,1
GO:0043123,"positive regulation of I-kappaB kinase/NF-kappaB signaling",1.044%,-2.132, 6.980,2.260,-2.3522,0.821,0.092,43123,0
