term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",16.463%,-1.685, 1.083,3.455,-2.9017,0.988,0.000,2376,0
GO:0008152,"metabolic process",64.841%,-0.284,-1.615,4.051,-3.3387,0.995,0.000,8152,0
GO:0042775,"mitochondrial ATP synthesis coupled electron transport",0.554%,-3.004, 5.719,1.987,-7.1275,0.791,0.000,42775,0
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",0.121%,null,null,1.342,-5.4861,0.814,0.866,42775,1
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c",0.087%,null,null,1.204,-2.2542,0.819,0.842,42775,1
GO:0006119,"oxidative phosphorylation",0.669%,null,null,2.068,-6.2557,0.802,0.821,42775,1
GO:0009060,"aerobic respiration",0.387%,null,null,1.833,-4.4713,0.838,0.840,42775,1
GO:0022900,"electron transport chain",0.658%,null,null,2.061,-5.5806,0.842,0.737,42775,1
GO:0045333,"cellular respiration",1.044%,null,null,2.260,-5.5806,0.830,0.837,42775,1
GO:0022904,"respiratory electron transport chain",0.646%,null,null,2.053,-6.7617,0.826,0.976,42775,1
GO:0046034,"ATP metabolic process",1.431%,null,null,2.396,-4.4713,0.831,0.883,42775,1
GO:0042773,"ATP synthesis coupled electron transport",0.560%,null,null,1.991,-7.1275,0.792,0.965,42775,1
GO:0015980,"energy derivation by oxidation of organic compounds",1.575%,null,null,2.438,-4.5552,0.830,0.865,42775,1
GO:0035690,"cellular response to drug",0.381%,-7.641,-2.056,1.826,-3.3387,0.861,0.002,35690,0
GO:0022618,"ribonucleoprotein complex assembly",1.143%, 3.398, 5.242,2.299,-3.6141,0.924,0.002,22618,0
GO:0000245,"spliceosomal complex assembly",0.312%,null,null,1.740,-2.4124,0.893,0.850,22618,1
GO:0042255,"ribosome assembly",0.335%,null,null,1.771,-2.2514,0.927,0.856,22618,1
GO:0000387,"spliceosomal snRNP assembly",0.219%,null,null,1.591,-2.6050,0.896,0.822,22618,1
GO:1902600,"hydrogen ion transmembrane transport",0.675%, 5.648,-0.792,2.072,-2.6952,0.953,0.011,1902600,0
GO:0045454,"cell redox homeostasis",0.415%, 2.413,-0.527,1.863,-4.4664,0.936,0.033,45454,0
GO:0043900,"regulation of multi-organism process",1.379%, 4.811,-3.830,2.380,-2.1173,0.958,0.034,43900,0
GO:0031146,"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",0.415%, 0.082, 1.785,1.863,-2.6987,0.953,0.039,31146,0
GO:0006091,"generation of precursor metabolites and energy",2.129%, 2.713,-2.387,2.568,-3.1728,0.960,0.047,6091,0
GO:0008219,"cell death",11.881%, 2.019,-4.201,3.314,-4.4857,0.941,0.047,8219,0
GO:0044237,"cellular metabolic process",59.486%, 2.682, 3.295,4.013,-3.0168,0.958,0.070,44237,0
GO:0001775,"cell activation",7.900%, 0.655,-3.227,3.137,-2.2972,0.944,0.075,1775,0
GO:0002366,"leukocyte activation involved in immune response",3.895%, 1.356,-7.273,2.830,-2.7039,0.698,0.081,2366,0
GO:0002446,"neutrophil mediated immunity",2.879%,null,null,2.699,-2.4569,0.801,0.942,2366,1
GO:0002444,"myeloid leukocyte mediated immunity",3.133%,null,null,2.736,-2.2161,0.801,0.742,2366,1
GO:0045321,"leukocyte activation",7.011%,null,null,3.085,-2.6992,0.752,0.792,2366,1
GO:0002274,"myeloid leukocyte activation",3.531%,null,null,2.787,-2.1808,0.769,0.750,2366,1
GO:0002275,"myeloid cell activation involved in immune response",3.093%,null,null,2.730,-2.2381,0.701,0.927,2366,1
GO:0036230,"granulocyte activation",2.851%,null,null,2.695,-2.4162,0.764,0.727,2366,1
GO:0002263,"cell activation involved in immune response",3.907%,null,null,2.831,-2.6992,0.706,0.768,2366,1
GO:0002283,"neutrophil activation involved in immune response",2.799%,null,null,2.687,-2.4955,0.702,0.969,2366,1
GO:0042119,"neutrophil activation",2.827%,null,null,2.691,-2.4569,0.763,0.968,2366,1
GO:0043312,"neutrophil degranulation",2.799%,null,null,2.687,-2.5111,0.679,0.914,2366,1
GO:0043299,"leukocyte degranulation",3.064%,null,null,2.726,-2.2828,0.758,0.740,2366,1
GO:0045429,"positive regulation of nitric oxide biosynthetic process",0.237%,-4.627, 3.943,1.623,-2.5124,0.867,0.109,45429,0
GO:0045428,"regulation of nitric oxide biosynthetic process",0.306%,null,null,1.732,-2.0588,0.876,0.943,45429,1
GO:1903428,"positive regulation of reactive oxygen species biosynthetic process",0.277%,null,null,1.690,-2.1971,0.876,0.922,45429,1
GO:1904407,"positive regulation of nitric oxide metabolic process",0.237%,null,null,1.623,-2.4955,0.871,0.910,45429,1
GO:0090271,"positive regulation of fibroblast growth factor production",0.017%, 5.892,-4.223,0.602,-2.2236,0.940,0.110,90271,0
GO:0051707,"response to other organism",4.853%,-3.512,-8.008,2.925,-2.1808,0.889,0.114,51707,0
GO:0043207,"response to external biotic stimulus",4.859%,null,null,2.926,-2.1808,0.889,0.933,51707,1
GO:0002831,"regulation of response to biotic stimulus",0.802%,null,null,2.146,-2.0118,0.868,0.719,51707,1
GO:0097190,"apoptotic signaling pathway",3.358%,-4.179,-5.580,2.766,-3.2501,0.791,0.121,97190,0
GO:0009628,"response to abiotic stimulus",6.705%,-2.360,-7.994,3.066,-2.2523,0.912,0.125,9628,0
GO:0009607,"response to biotic stimulus",5.107%,-1.889,-6.880,2.947,-2.1106,0.914,0.126,9607,0
GO:0032392,"DNA geometric change",0.496%, 2.413, 3.673,1.940,-2.7830,0.956,0.136,32392,0
GO:0032508,"DNA duplex unwinding",0.439%,null,null,1.886,-2.2299,0.956,0.774,32392,1
GO:0006793,"phosphorus metabolic process",18.702%, 0.438, 6.214,3.511,-2.5185,0.952,0.139,6793,0
GO:0033194,"response to hydroperoxide",0.098%,-7.665,-0.398,1.255,-3.2687,0.847,0.174,33194,0
GO:0010467,"gene expression",30.542%, 0.283, 4.181,3.724,-2.4955,0.958,0.179,10467,0
GO:0090090,"negative regulation of canonical Wnt signaling pathway",0.952%,-5.157,-6.266,2.220,-2.7153,0.801,0.180,90090,0
GO:0030178,"negative regulation of Wnt signaling pathway",1.154%,null,null,2.303,-2.5646,0.798,0.864,90090,1
GO:0060828,"regulation of canonical Wnt signaling pathway",1.385%,null,null,2.382,-2.1865,0.817,0.901,90090,1
GO:0060070,"canonical Wnt signaling pathway",1.685%,null,null,2.467,-2.0470,0.828,0.802,90090,1
GO:0033157,"regulation of intracellular protein transport",2.147%, 4.538, 0.276,2.572,-2.5807,0.910,0.197,33157,0
GO:0051223,"regulation of protein transport",4.310%,null,null,2.874,-2.1274,0.909,0.832,33157,1
GO:0070201,"regulation of establishment of protein localization",4.737%,null,null,2.915,-2.0118,0.912,0.878,33157,1
GO:0046822,"regulation of nucleocytoplasmic transport",1.223%,null,null,2.328,-2.0470,0.921,0.833,33157,1
GO:0034641,"cellular nitrogen compound metabolic process",37.432%,-4.509, 5.296,3.812,-2.2161,0.927,0.203,34641,0
GO:0043933,"macromolecular complex subunit organization",14.259%, 3.949, 4.657,3.393,-2.3199,0.959,0.206,43933,0
GO:0010972,"negative regulation of G2/M transition of mitotic cell cycle",0.479%, 5.875, 1.054,1.924,-2.6987,0.842,0.208,10972,0
GO:1901988,"negative regulation of cell cycle phase transition",1.229%,null,null,2.330,-2.2972,0.834,0.922,10972,1
GO:1901991,"negative regulation of mitotic cell cycle phase transition",1.183%,null,null,2.314,-2.4049,0.833,0.889,10972,1
GO:0010948,"negative regulation of cell cycle process",1.593%,null,null,2.442,-2.0042,0.841,0.796,10972,1
GO:0045930,"negative regulation of mitotic cell cycle",1.610%,null,null,2.447,-2.0567,0.840,0.719,10972,1
GO:0010389,"regulation of G2/M transition of mitotic cell cycle",0.658%,null,null,2.061,-2.0118,0.852,0.952,10972,1
GO:1902750,"negative regulation of cell cycle G2/M phase transition",0.490%,null,null,1.934,-2.5823,0.842,0.923,10972,1
GO:0006979,"response to oxidative stress",2.406%,-6.411, 2.188,2.621,-2.5803,0.884,0.228,6979,0
GO:0097237,"cellular response to toxic substance",0.052%,-7.467, 0.017,1.000,-2.4955,0.863,0.238,97237,0
GO:0055114,"oxidation-reduction process",5.828%,-2.612, 6.334,3.005,-2.6050,0.912,0.264,55114,0
GO:0070498,"interleukin-1-mediated signaling pathway",0.115%,-7.398,-3.125,1.322,-2.6169,0.814,0.271,70498,0
GO:0071347,"cellular response to interleukin-1",0.519%,null,null,1.959,-2.0588,0.827,0.829,70498,1
GO:0061418,"regulation of transcription from RNA polymerase II promoter in response to hypoxia",0.456%,-6.327, 0.411,1.903,-2.9235,0.739,0.285,61418,0
GO:0036293,"response to decreased oxygen levels",1.991%,null,null,2.539,-2.1665,0.872,0.964,61418,1
GO:0036294,"cellular response to decreased oxygen levels",1.114%,null,null,2.288,-2.0407,0.805,0.974,61418,1
GO:0043618,"regulation of transcription from RNA polymerase II promoter in response to stress",0.664%,null,null,2.064,-2.4955,0.801,0.949,61418,1
GO:0071456,"cellular response to hypoxia",1.073%,null,null,2.272,-2.0727,0.785,0.906,61418,1
GO:0001666,"response to hypoxia",1.945%,null,null,2.529,-2.2236,0.842,0.823,61418,1
