term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0001817,"regulation of cytokine production",3.387%, 0.098, 3.305,2.769,-6.3000,0.881,0.000,1817,0
GO:0001819,"positive regulation of cytokine production",2.256%,null,null,2.593,-3.4907,0.811,0.881,1817,1
GO:0032612,"interleukin-1 production",0.398%,null,null,1.845,-2.4019,0.946,0.710,1817,1
GO:0032609,"interferon-gamma production",0.577%,null,null,2.004,-2.2773,0.944,0.740,1817,1
GO:0002376,"immune system process",16.463%, 0.605, 0.188,3.455,-7.1005,0.995,0.000,2376,0
GO:0002399,"MHC class II protein complex assembly",0.023%,-0.325,-0.009,0.699,-5.1868,0.973,0.000,2399,0
GO:0002501,"peptide antigen assembly with MHC protein complex",0.023%,null,null,0.699,-4.3982,0.842,0.973,2399,1
GO:0002503,"peptide antigen assembly with MHC class II protein complex",0.017%,null,null,0.602,-5.1868,0.844,0.957,2399,1
GO:0023052,"signaling",36.613%, 0.954, 0.644,3.803,-2.1378,0.996,0.000,23052,0
GO:0030163,"protein catabolic process",4.645%,-3.441,-1.792,2.906,-3.0902,0.881,0.000,30163,0
GO:0044257,"cellular protein catabolic process",3.912%,null,null,2.832,-2.1397,0.869,0.896,30163,1
GO:0043161,"proteasome-mediated ubiquitin-dependent protein catabolic process",2.222%,null,null,2.587,-2.0978,0.865,0.877,30163,1
GO:0010498,"proteasomal protein catabolic process",2.383%,null,null,2.617,-2.1325,0.864,0.886,30163,1
GO:0051603,"proteolysis involved in cellular protein catabolic process",3.710%,null,null,2.809,-2.1610,0.856,0.783,30163,1
GO:0034097,"response to cytokine",4.714%, 5.467,-4.871,2.913,-6.9651,0.876,0.000,34097,0
GO:0051704,"multi-organism process",9.873%, 0.851, 0.569,3.234,-2.7519,0.995,0.000,51704,0
GO:0070661,"leukocyte proliferation",1.570%,-0.357, 1.031,2.436,-4.6285,0.946,0.014,70661,0
GO:0008283,"cell proliferation",11.321%, 0.401, 0.075,3.293,-2.7750,0.983,0.019,8283,0
GO:1905664,"regulation of calcium ion import across plasma membrane",0.012%, 0.310, 0.759,0.477,-2.5221,0.945,0.027,1905664,0
GO:0001775,"cell activation",7.900%, 0.154,-0.027,3.137,-5.3732,0.970,0.030,1775,0
GO:0051347,"positive regulation of transferase activity",3.780%,-1.397, 0.562,2.817,-4.9665,0.878,0.039,51347,0
GO:0001934,"positive regulation of protein phosphorylation",5.153%,null,null,2.951,-2.9399,0.661,0.912,51347,1
GO:0045860,"positive regulation of protein kinase activity",2.793%,null,null,2.686,-5.3732,0.666,0.791,51347,1
GO:0045859,"regulation of protein kinase activity",4.322%,null,null,2.875,-3.6272,0.719,0.871,51347,1
GO:0071902,"positive regulation of protein serine/threonine kinase activity",1.754%,null,null,2.484,-2.9141,0.685,0.894,51347,1
GO:0045937,"positive regulation of phosphate metabolic process",6.099%,null,null,3.024,-3.8788,0.697,0.824,51347,1
GO:0071900,"regulation of protein serine/threonine kinase activity",2.764%,null,null,2.681,-2.2492,0.736,0.839,51347,1
GO:0043549,"regulation of kinase activity",4.651%,null,null,2.907,-3.4166,0.753,0.873,51347,1
GO:0042327,"positive regulation of phosphorylation",5.384%,null,null,2.970,-3.1813,0.699,0.919,51347,1
GO:0032147,"activation of protein kinase activity",1.748%,null,null,2.483,-4.5655,0.685,0.893,51347,1
GO:0033674,"positive regulation of kinase activity",2.989%,null,null,2.715,-5.1834,0.693,0.889,51347,1
GO:0043900,"regulation of multi-organism process",1.379%, 0.023, 0.310,2.380,-3.8436,0.940,0.043,43900,0
GO:0030155,"regulation of cell adhesion",3.780%, 0.056, 0.118,2.817,-2.5676,0.880,0.050,30155,0
GO:0006793,"phosphorus metabolic process",18.702%,-2.219,-0.740,3.511,-2.0172,0.936,0.064,6793,0
GO:0008219,"cell death",11.881%, 0.232,-0.098,3.314,-2.1397,0.968,0.075,8219,0
GO:0048518,"positive regulation of biological process",30.969%,-1.989,-1.762,3.730,-7.2122,0.906,0.075,48518,0
GO:0065009,"regulation of molecular function",17.288%, 0.752, 0.172,3.477,-2.2234,0.932,0.090,65009,0
GO:0000122,"negative regulation of transcription from RNA polymerase II promoter",4.380%,-6.254,-1.462,2.881,-3.0543,0.777,0.095,122,0
GO:0031327,"negative regulation of cellular biosynthetic process",8.419%,null,null,3.164,-2.1325,0.775,0.803,122,1
GO:0010558,"negative regulation of macromolecule biosynthetic process",8.003%,null,null,3.142,-2.1064,0.777,0.900,122,1
GO:0007249,"I-kappaB kinase/NF-kappaB signaling",1.535%, 3.856,-3.066,2.427,-6.0823,0.857,0.099,7249,0
GO:0031347,"regulation of defense response",3.964%, 5.846, 1.079,2.838,-6.0465,0.795,0.114,31347,0
GO:0045087,"innate immune response",5.124%,null,null,2.949,-5.7393,0.726,0.711,31347,1
GO:0051707,"response to other organism",4.853%, 3.573,-2.102,2.925,-6.6372,0.894,0.118,51707,0
GO:0043207,"response to external biotic stimulus",4.859%,null,null,2.926,-6.6372,0.895,0.933,51707,1
GO:0009615,"response to virus",1.771%,null,null,2.489,-3.3081,0.906,0.815,51707,1
GO:0002831,"regulation of response to biotic stimulus",0.802%,null,null,2.146,-6.0507,0.847,0.719,51707,1
GO:0098542,"defense response to other organism",2.874%,null,null,2.698,-5.7393,0.855,0.875,51707,1
GO:0051607,"defense response to virus",1.327%,null,null,2.364,-3.1928,0.745,0.783,51707,1
GO:0009607,"response to biotic stimulus",5.107%, 2.621,-2.719,2.947,-6.5778,0.929,0.120,9607,0
GO:0001692,"histamine metabolic process",0.023%,-0.948,-0.366,0.699,-2.0127,0.951,0.121,1692,0
GO:0001694,"histamine biosynthetic process",0.012%,null,null,0.477,-2.2066,0.942,0.834,1692,1
GO:2001057,"reactive nitrogen species metabolic process",0.421%,-1.249,-0.504,1.869,-2.1842,0.954,0.127,2001057,0
GO:0048519,"negative regulation of biological process",26.855%,-1.757,-1.511,3.668,-2.0810,0.909,0.134,48519,0
GO:0019538,"protein metabolic process",31.991%,-3.807,-1.682,3.744,-3.6050,0.916,0.140,19538,0
GO:0019222,"regulation of metabolic process",35.730%,-2.314,-1.806,3.792,-2.8864,0.890,0.151,19222,0
GO:0006950,"response to stress",21.310%, 3.770,-3.561,3.567,-6.3394,0.911,0.159,6950,0
GO:0042136,"neurotransmitter biosynthetic process",0.104%,-1.629,-0.323,1.279,-2.0730,0.933,0.160,42136,0
GO:0036066,"protein O-linked fucosylation",0.069%,-4.263,-1.811,1.114,-2.0650,0.899,0.167,36066,0
GO:0097191,"extrinsic apoptotic signaling pathway",1.246%, 3.310,-2.736,2.336,-2.2073,0.844,0.169,97191,0
GO:0030522,"intracellular receptor signaling pathway",1.581%, 3.328,-3.137,2.439,-2.1152,0.868,0.174,30522,0
GO:1902951,"negative regulation of dendritic spine maintenance",0.029%,-1.034, 0.101,0.778,-2.5221,0.927,0.185,1902951,0
GO:0009605,"response to external stimulus",12.043%, 3.524,-3.638,3.320,-5.2806,0.919,0.196,9605,0
GO:0051239,"regulation of multicellular organismal process",15.268%,-0.453, 3.540,3.423,-2.2066,0.899,0.199,51239,0
GO:0045723,"positive regulation of fatty acid biosynthetic process",0.081%,-4.539,-0.771,1.176,-2.6760,0.811,0.203,45723,0
GO:0045923,"positive regulation of fatty acid metabolic process",0.173%,null,null,1.491,-2.1132,0.811,0.782,45723,1
GO:2001280,"positive regulation of unsaturated fatty acid biosynthetic process",0.023%,null,null,0.699,-2.0664,0.828,0.951,45723,1
GO:0031394,"positive regulation of prostaglandin biosynthetic process",0.023%,null,null,0.699,-2.2402,0.828,0.819,45723,1
GO:0001816,"cytokine production",3.745%, 0.267, 3.206,2.813,-6.6372,0.962,0.204,1816,0
GO:0048386,"positive regulation of retinoic acid receptor signaling pathway",0.023%, 2.348, 1.285,0.699,-2.0730,0.830,0.207,48386,0
GO:0030097,"hemopoiesis",4.108%, 2.096, 7.083,2.853,-6.0823,0.775,0.210,30097,0
GO:0048534,"hematopoietic or lymphoid organ development",4.339%,null,null,2.877,-6.3630,0.774,0.928,30097,1
GO:0002521,"leukocyte differentiation",2.689%,null,null,2.669,-6.4152,0.780,0.882,30097,1
GO:1902105,"regulation of leukocyte differentiation",1.396%,null,null,2.386,-2.0664,0.716,0.867,30097,1
GO:0030098,"lymphocyte differentiation",1.818%,null,null,2.500,-6.3630,0.740,0.834,30097,1
GO:0045619,"regulation of lymphocyte differentiation",0.825%,null,null,2.158,-3.1286,0.690,0.801,30097,1
GO:0030183,"B cell differentiation",0.658%,null,null,2.061,-4.0128,0.762,0.731,30097,1
GO:1901564,"organonitrogen compound metabolic process",13.324%,-3.607,-0.541,3.364,-3.0784,0.924,0.213,1901564,0
GO:0043412,"macromolecule modification",24.172%,-3.059,-1.450,3.622,-3.2446,0.922,0.230,43412,0
GO:0048583,"regulation of response to stimulus",21.610%, 3.535,-4.867,3.574,-5.9859,0.851,0.233,48583,0
GO:0045428,"regulation of nitric oxide biosynthetic process",0.306%,-6.392,-1.161,1.732,-2.9319,0.839,0.234,45428,0
GO:0006809,"nitric oxide biosynthetic process",0.369%,null,null,1.813,-2.4647,0.904,0.966,45428,1
GO:0045429,"positive regulation of nitric oxide biosynthetic process",0.237%,null,null,1.623,-2.2088,0.781,0.943,45428,1
GO:1904407,"positive regulation of nitric oxide metabolic process",0.237%,null,null,1.623,-2.1653,0.789,0.930,45428,1
GO:1903426,"regulation of reactive oxygen species biosynthetic process",0.398%,null,null,1.845,-2.5225,0.844,0.931,45428,1
GO:2000379,"positive regulation of reactive oxygen species metabolic process",0.502%,null,null,1.944,-2.0172,0.788,0.841,45428,1
