term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0001906,"cell killing",0.629%, 0.555, 0.485,2.041,-4.6178,0.994,0.000,1906,0
GO:0002376,"immune system process",16.463%, 0.598, 0.492,3.455,-8.6201,0.995,0.000,2376,0
GO:0008152,"metabolic process",64.841%, 0.806, 0.822,4.051,-3.4814,0.998,0.000,8152,0
GO:0031640,"killing of cells of other organism",0.167%,-1.244,-0.016,1.477,-7.3672,0.891,0.000,31640,0
GO:0051712,"positive regulation of killing of cells of other organism",0.035%,null,null,0.845,-3.1402,0.886,0.889,31640,1
GO:0051709,"regulation of killing of cells of other organism",0.040%,null,null,0.903,-2.7867,0.895,0.898,31640,1
GO:0052330,"positive regulation by organism of programmed cell death in other organism involved in symbiotic interaction",0.012%,null,null,0.477,-3.2209,0.867,0.917,31640,1
GO:0051818,"disruption of cells of other organism involved in symbiotic interaction",0.069%,null,null,1.114,-5.4591,0.898,0.934,31640,1
GO:0051817,"modification of morphology or physiology of other organism involved in symbiotic interaction",0.439%,null,null,1.886,-3.3289,0.895,0.878,31640,1
GO:0051873,"killing by host of symbiont cells",0.046%,null,null,0.954,-4.2921,0.815,0.972,31640,1
GO:0051883,"killing of cells in other organism involved in symbiotic interaction",0.069%,null,null,1.114,-4.6411,0.890,0.972,31640,1
GO:0051851,"modification by host of symbiont morphology or physiology",0.237%,null,null,1.623,-3.0515,0.896,0.904,31640,1
GO:0051852,"disruption by host of symbiont cells",0.046%,null,null,0.954,-5.3715,0.819,0.907,31640,1
GO:0052042,"positive regulation by symbiont of host programmed cell death",0.012%,null,null,0.477,-3.2209,0.867,1.000,31640,1
GO:0070947,"neutrophil mediated killing of fungus",0.006%,null,null,0.301,-3.0170,0.795,0.790,31640,1
GO:0070943,"neutrophil mediated killing of symbiont cell",0.035%,null,null,0.845,-3.1782,0.772,0.981,31640,1
GO:0070942,"neutrophil mediated cytotoxicity",0.035%,null,null,0.845,-2.9254,0.898,0.701,31640,1
GO:0052151,"positive regulation by symbiont of host apoptotic process",0.012%,null,null,0.477,-3.2209,0.867,0.917,31640,1
GO:0044364,"disruption of cells of other organism",0.167%,null,null,1.477,-7.3672,0.904,0.812,31640,1
GO:0043312,"neutrophil degranulation",2.799%,-5.543,-3.986,2.687,-37.8681,0.781,0.000,43312,0
GO:0002446,"neutrophil mediated immunity",2.879%,null,null,2.699,-37.8681,0.894,0.942,43312,1
GO:0002443,"leukocyte mediated immunity",4.859%,null,null,2.926,-22.0397,0.893,0.795,43312,1
GO:0002444,"myeloid leukocyte mediated immunity",3.133%,null,null,2.736,-36.2416,0.896,0.818,43312,1
GO:0045321,"leukocyte activation",7.011%,null,null,3.085,-13.9704,0.863,0.792,43312,1
GO:0006887,"exocytosis",4.986%,null,null,2.937,-29.2799,0.900,0.702,43312,1
GO:0042119,"neutrophil activation",2.827%,null,null,2.691,-36.9468,0.871,0.968,43312,1
GO:0032940,"secretion by cell",8.125%,null,null,3.149,-16.2503,0.894,0.800,43312,1
GO:0002366,"leukocyte activation involved in immune response",3.895%,null,null,2.830,-29.5888,0.831,0.927,43312,1
GO:0002274,"myeloid leukocyte activation",3.531%,null,null,2.787,-31.4333,0.873,0.714,43312,1
GO:0002275,"myeloid cell activation involved in immune response",3.093%,null,null,2.730,-35.4578,0.833,0.917,43312,1
GO:0036230,"granulocyte activation",2.851%,null,null,2.695,-36.9547,0.871,0.904,43312,1
GO:0002263,"cell activation involved in immune response",3.907%,null,null,2.831,-29.3736,0.835,0.730,43312,1
GO:0045055,"regulated exocytosis",4.299%,null,null,2.873,-28.4376,0.900,0.859,43312,1
GO:0002283,"neutrophil activation involved in immune response",2.799%,null,null,2.687,-37.7569,0.834,0.969,43312,1
