term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0001906,"cell killing",0.629%, 0.159,-0.837,2.041,-4.5180,0.994,0.000,1906,0
GO:0002376,"immune system process",16.463%, 0.195,-1.040,3.455,-13.7351,0.995,0.000,2376,0
GO:0006403,"RNA localization",1.258%, 1.217,-1.976,2.340,-5.1423,0.982,0.000,6403,0
GO:0007164,"establishment of tissue polarity",0.704%, 2.928,-0.276,2.090,-6.4280,0.969,0.000,7164,0
GO:0008152,"metabolic process",64.841%, 1.075,-1.225,4.051,-5.3574,0.998,0.000,8152,0
GO:0043900,"regulation of multi-organism process",1.379%, 0.572,-1.114,2.380,-23.6070,0.940,0.000,43900,0
GO:0051704,"multi-organism process",9.873%, 0.631,-1.824,3.234,-17.4141,0.995,0.000,51704,0
GO:0051707,"response to other organism",4.853%, 4.797, 1.108,2.925,-25.9876,0.904,0.000,51707,0
GO:0043207,"response to external biotic stimulus",4.859%,null,null,2.926,-25.9876,0.905,0.933,51707,1
GO:0009615,"response to virus",1.771%,null,null,2.489,-26.9705,0.914,0.815,51707,1
GO:0002831,"regulation of response to biotic stimulus",0.802%,null,null,2.146,-16.8730,0.890,0.719,51707,1
GO:0098542,"defense response to other organism",2.874%,null,null,2.698,-25.7832,0.850,0.875,51707,1
GO:0051607,"defense response to virus",1.327%,null,null,2.364,-28.5282,0.775,0.783,51707,1
GO:0070125,"mitochondrial translational elongation",0.502%,-5.541,-3.730,1.944,-32.2240,0.811,0.000,70125,0
GO:0070126,"mitochondrial translational termination",0.502%,null,null,1.944,-32.1579,0.785,0.930,70125,1
GO:0071840,"cellular component organization or biogenesis",36.532%, 2.136,-2.009,3.802,-6.3291,0.996,0.000,71840,0
GO:0001816,"cytokine production",3.745%, 3.546,-0.313,2.813,-6.2348,0.966,0.013,1816,0
GO:0010389,"regulation of G2/M transition of mitotic cell cycle",0.658%, 0.646,-4.409,2.061,-14.7895,0.845,0.036,10389,0
GO:0044772,"mitotic cell cycle phase transition",3.064%,null,null,2.726,-11.4679,0.844,0.781,10389,1
GO:0045930,"negative regulation of mitotic cell cycle",1.610%,null,null,2.447,-9.9905,0.843,0.744,10389,1
GO:0044839,"cell cycle G2/M phase transition",1.402%,null,null,2.387,-11.0925,0.861,0.857,10389,1
GO:0044843,"cell cycle G1/S phase transition",1.495%,null,null,2.415,-5.1488,0.860,0.864,10389,1
GO:1902749,"regulation of cell cycle G2/M phase transition",0.704%,null,null,2.090,-14.4838,0.848,0.843,10389,1
GO:1902750,"negative regulation of cell cycle G2/M phase transition",0.490%,null,null,1.934,-12.2401,0.846,0.952,10389,1
GO:1901987,"regulation of cell cycle phase transition",1.991%,null,null,2.539,-9.2010,0.837,0.897,10389,1
GO:1901988,"negative regulation of cell cycle phase transition",1.229%,null,null,2.330,-8.8143,0.836,0.922,10389,1
GO:0010972,"negative regulation of G2/M transition of mitotic cell cycle",0.479%,null,null,1.924,-13.1790,0.844,0.950,10389,1
GO:1901990,"regulation of mitotic cell cycle phase transition",1.870%,null,null,2.512,-9.7691,0.831,0.890,10389,1
GO:1901991,"negative regulation of mitotic cell cycle phase transition",1.183%,null,null,2.314,-9.4719,0.833,0.912,10389,1
GO:0010948,"negative regulation of cell cycle process",1.593%,null,null,2.442,-8.5765,0.842,0.796,10389,1
GO:0000082,"G1/S transition of mitotic cell cycle",1.420%,null,null,2.393,-4.9279,0.861,0.858,10389,1
GO:0000086,"G2/M transition of mitotic cell cycle",1.350%,null,null,2.371,-11.2686,0.858,0.909,10389,1
GO:1903047,"mitotic cell cycle process",5.286%,null,null,2.962,-14.8021,0.848,0.834,10389,1
GO:0045333,"cellular respiration",1.044%,-3.789, 2.374,2.260,-14.4599,0.877,0.043,45333,0
GO:0009060,"aerobic respiration",0.387%,null,null,1.833,-7.1204,0.886,0.840,45333,1
GO:0046034,"ATP metabolic process",1.431%,null,null,2.396,-6.3572,0.783,0.883,45333,1
GO:0015980,"energy derivation by oxidation of organic compounds",1.575%,null,null,2.438,-9.2030,0.873,0.865,45333,1
