term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",16.463%, 0.569, 0.011,3.455,-3.7379,0.994,0.000,2376,0
GO:0023052,"signaling",36.613%, 1.269,-0.967,3.803,-2.1087,0.996,0.000,23052,0
GO:0030098,"lymphocyte differentiation",1.818%, 2.141,-5.294,2.500,-4.9925,0.767,0.000,30098,0
GO:0051249,"regulation of lymphocyte activation",2.620%,null,null,2.658,-3.2595,0.715,0.853,30098,1
GO:0051251,"positive regulation of lymphocyte activation",1.875%,null,null,2.513,-3.2052,0.664,0.895,30098,1
GO:0048534,"hematopoietic or lymphoid organ development",4.339%,null,null,2.877,-3.3413,0.812,0.928,30098,1
GO:0050870,"positive regulation of T cell activation",1.235%,null,null,2.332,-3.0555,0.656,0.928,30098,1
GO:0050863,"regulation of T cell activation",1.777%,null,null,2.490,-3.1146,0.700,0.924,30098,1
GO:0050867,"positive regulation of cell activation",2.077%,null,null,2.558,-2.4587,0.740,0.889,30098,1
GO:0002521,"leukocyte differentiation",2.689%,null,null,2.669,-4.3373,0.814,0.803,30098,1
GO:0030217,"T cell differentiation",1.246%,null,null,2.336,-2.7696,0.751,0.883,30098,1
GO:0042110,"T cell activation",2.637%,null,null,2.661,-4.1155,0.752,0.812,30098,1
GO:0042113,"B cell activation",1.598%,null,null,2.444,-2.8958,0.791,0.762,30098,1
GO:0007159,"leukocyte cell-cell adhesion",2.874%,null,null,2.698,-2.2452,0.933,0.845,30098,1
GO:0030097,"hemopoiesis",4.108%,null,null,2.853,-3.0555,0.812,0.882,30098,1
GO:0002696,"positive regulation of leukocyte activation",2.025%,null,null,2.547,-2.6427,0.668,0.963,30098,1
GO:0002694,"regulation of leukocyte activation",2.977%,null,null,2.713,-2.4710,0.719,0.934,30098,1
GO:0045619,"regulation of lymphocyte differentiation",0.825%,null,null,2.158,-2.0465,0.721,0.801,30098,1
GO:0030183,"B cell differentiation",0.658%,null,null,2.061,-4.2274,0.787,0.779,30098,1
GO:1903039,"positive regulation of leukocyte cell-cell adhesion",1.287%,null,null,2.350,-2.7069,0.822,0.952,30098,1
GO:1903037,"regulation of leukocyte cell-cell adhesion",1.864%,null,null,2.511,-2.1265,0.883,0.905,30098,1
GO:0002399,"MHC class II protein complex assembly",0.023%,-0.224,-1.893,0.699,-2.5363,0.973,0.002,2399,0
GO:0002503,"peptide antigen assembly with MHC class II protein complex",0.017%,null,null,0.602,-2.5363,0.876,0.957,2399,1
GO:0016236,"macroautophagy",1.546%, 0.463,-0.367,2.430,-2.3981,0.990,0.002,16236,0
GO:0032147,"activation of protein kinase activity",1.748%,-4.805, 5.117,2.483,-3.3384,0.652,0.002,32147,0
GO:0001934,"positive regulation of protein phosphorylation",5.153%,null,null,2.951,-2.3137,0.632,0.854,32147,1
