term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0002376,"immune system process",16.463%,-0.303, 0.005,3.455,-9.9806,0.995,0.000,2376,0
GO:0043312,"neutrophil degranulation",2.799%,-6.747,-0.546,2.687,-26.6100,0.706,0.000,43312,0
GO:0002446,"neutrophil mediated immunity",2.879%,null,null,2.699,-26.9689,0.863,0.942,43312,1
GO:0002443,"leukocyte mediated immunity",4.859%,null,null,2.926,-19.8985,0.859,0.795,43312,1
GO:0002444,"myeloid leukocyte mediated immunity",3.133%,null,null,2.736,-26.8529,0.863,0.818,43312,1
GO:0045321,"leukocyte activation",7.011%,null,null,3.085,-15.7255,0.832,0.792,43312,1
GO:0006887,"exocytosis",4.986%,null,null,2.937,-16.8937,0.844,0.702,43312,1
GO:0042119,"neutrophil activation",2.827%,null,null,2.691,-26.5200,0.842,0.968,43312,1
GO:0032940,"secretion by cell",8.125%,null,null,3.149,-12.0388,0.848,0.800,43312,1
GO:0002366,"leukocyte activation involved in immune response",3.895%,null,null,2.830,-23.2604,0.797,0.927,43312,1
GO:0002274,"myeloid leukocyte activation",3.531%,null,null,2.787,-24.7741,0.844,0.714,43312,1
GO:0002275,"myeloid cell activation involved in immune response",3.093%,null,null,2.730,-26.8529,0.800,0.915,43312,1
GO:0036230,"granulocyte activation",2.851%,null,null,2.695,-26.6100,0.842,0.917,43312,1
GO:0002263,"cell activation involved in immune response",3.907%,null,null,2.831,-23.0800,0.802,0.730,43312,1
GO:0045055,"regulated exocytosis",4.299%,null,null,2.873,-19.3707,0.843,0.859,43312,1
GO:0002283,"neutrophil activation involved in immune response",2.799%,null,null,2.687,-26.6100,0.801,0.969,43312,1
GO:0043302,"positive regulation of leukocyte degranulation",0.104%,null,null,1.279,-3.3132,0.771,0.766,43312,1
GO:0043299,"leukocyte degranulation",3.064%,null,null,2.726,-26.6100,0.746,0.853,43312,1
GO:0043300,"regulation of leukocyte degranulation",0.242%,null,null,1.633,-3.0629,0.765,0.704,43312,1
GO:0043900,"regulation of multi-organism process",1.379%,-0.780, 0.668,2.380,-4.4787,0.964,0.000,43900,0
GO:0051179,"localization",36.018%, 0.013,-0.114,3.795,-3.3300,0.996,0.000,51179,0
GO:0051704,"multi-organism process",9.873%,-0.820, 0.228,3.234,-4.2455,0.995,0.000,51704,0
GO:0031145,"anaphase-promoting complex-dependent catabolic process",0.467%, 4.077,-0.553,1.914,-8.2670,0.874,0.002,31145,0
GO:0044257,"cellular protein catabolic process",3.912%,null,null,2.832,-2.4508,0.846,0.831,31145,1
GO:0043161,"proteasome-mediated ubiquitin-dependent protein catabolic process",2.222%,null,null,2.587,-4.7344,0.852,0.795,31145,1
GO:0019941,"modification-dependent protein catabolic process",3.347%,null,null,2.764,-2.3443,0.847,0.962,31145,1
GO:0010498,"proteasomal protein catabolic process",2.383%,null,null,2.617,-3.3604,0.853,0.841,31145,1
GO:0006511,"ubiquitin-dependent protein catabolic process",3.306%,null,null,2.759,-2.4258,0.847,0.910,31145,1
GO:0070488,"neutrophil aggregation",0.012%,-0.523, 0.222,0.477,-3.5868,0.986,0.008,70488,0
GO:0001816,"cytokine production",3.745%,-2.672, 1.181,2.813,-3.6027,0.963,0.016,1816,0
GO:0043393,"regulation of protein binding",1.050%,-0.230, 0.249,2.262,-2.5205,0.972,0.030,43393,0
GO:0032091,"negative regulation of protein binding",0.473%,null,null,1.919,-2.4486,0.973,0.789,43393,1
GO:0005975,"carbohydrate metabolic process",3.387%,-0.003, 0.053,2.769,-2.6918,0.962,0.046,5975,0
GO:0051186,"cofactor metabolic process",2.268%, 0.059,-0.028,2.595,-3.8169,0.959,0.046,51186,0
GO:0007059,"chromosome segregation",1.939%,-0.171,-0.178,2.528,-3.6946,0.964,0.046,7059,0
GO:0035383,"thioester metabolic process",0.565%,-0.248, 0.006,1.996,-2.6016,0.960,0.047,35383,0
GO:0044772,"mitotic cell cycle phase transition",3.064%,-0.044,-1.335,2.726,-6.2375,0.847,0.049,44772,0
